YMD,AMT,CNT
20190514,0,1
20190519,18000,1
20190521,50000,4
20190522,125000,7
20190523,222500,13
20190524,209000,12
20190525,302000,18
20190526,267000,13
20190527,274000,13
20190528,179500,11
20190529,189500,11
20190530,240000,14
20190531,203000,13
20190601,381500,20
20190602,366500,19
20190603,255000,14
20190604,310500,17
20190605,268500,13
20190606,318000,20
20190607,139500,8
20190608,520000,27
20190609,482500,27
20190610,295000,18
20190611,504000,21
20190612,308000,17
20190613,287500,17
20190614,348000,18
20190615,307000,22
20190616,559500,31
20190617,240500,11
20190618,404000,22
20190619,237500,12
20190620,325500,16
20190621,162500,8
20190622,260500,13
20190623,385000,20
20190624,374000,20
20190625,283000,13
20190626,471500,21
20190627,348500,15
20190628,459500,18
20190629,451500,26
20190630,389000,20
20190701,500500,23
20190702,473000,21
20190703,508500,25
20190704,432500,23
20190705,314500,17
20190706,437000,23
20190707,654500,34
20190708,259500,16
20190709,431500,22
20190710,354500,17
20190711,500000,23
20190712,560500,30
20190713,485500,26
20190714,847000,39
20190715,507000,25
20190716,443500,23
20190717,630000,21
20190718,591500,30
20190719,566000,28
20190720,584000,27
20190721,689500,37
20190722,693500,36
20190723,668000,26
20190724,519500,25
20190726,390500,21
20190727,570500,30
20190728,1054500,56
20190729,807000,36
20190730,532000,28
20190731,634500,30
20190801,699500,30
20190802,629500,35
20190803,823500,37
20190804,925500,51
20190805,492500,26
20190806,724000,38
20190807,769500,30
20190808,570500,30
20190809,608000,30
20190810,609000,29
20190811,692500,35
20190812,779000,34
20190813,545500,28
20190814,729500,38
20190815,1174000,62
20190816,822500,42
20190817,872000,45
20190818,1200000,63
20190819,487000,28
20190821,685500,32
20190822,777500,37
20190823,815500,39
20190824,654500,34
20190825,809000,40
20190826,694500,34
20190827,525000,27
20190828,494000,25
20190829,745000,37
20190830,645000,29
20190831,840500,38
20190901,808500,41
20190902,737000,41
20190903,673500,35
20190904,803000,38
20190905,746000,30
20190906,677500,36
20190907,590500,31
20190908,767500,39
20190909,613000,32
20190910,834000,43
20190911,339500,15
20190916,656000,31
20190917,753000,34
20190918,882500,36
20190919,370000,20
20190920,584000,29
20190921,816500,36
20190922,993000,46
20190923,732000,38
20190924,790000,35
20190925,472500,24
20190926,675500,32
20190927,536000,28
20190928,764500,34
20190929,570000,26
20190930,651000,30
20191001,781500,35
20191002,518500,27
20191003,889000,43
20191004,614000,29
20191005,813500,42
20191006,754500,32
20191007,751500,32
20191008,767500,38
20191009,713500,32
20191010,696000,36
20191011,661500,31
20191012,715500,37
20191013,1008000,46
20191014,640000,29
20191015,1046000,39
20191016,552500,28
20191017,795000,36
20191018,460000,22
20191019,477500,24
20191020,910500,45
20191021,686500,29
20191022,715500,31
20191024,435000,23
20191025,554000,23
20191026,399000,24
20191027,483500,26
20191028,413500,17
20191029,537000,24
20191030,377000,14
20191031,637000,30
20191101,373000,18
20191102,296000,17
20191103,466000,28
20191104,398000,20
20191105,454500,20
20191106,994000,72
20191107,848500,53
20191108,1018500,66
20191109,780500,50
20191110,947000,65
20191111,916000,55
20191112,894000,57
20191113,1054000,64
20191114,1050500,64
20191115,770000,50
20191116,963000,72
20191117,1079500,74
20191119,1054500,68
20191120,969000,62
20191121,1176000,63
20191122,1253000,73
20191123,957500,68
20191124,1255500,78
20191126,1062500,58
20191127,1061500,72
20191128,1365500,85
20191129,1002000,65
20191130,873000,63
20191201,1148500,78
20191202,1184500,74
20191203,994000,67
20191204,907500,57
20191205,1274000,75
20191206,1023000,63
20191207,1317500,75
20191208,1072000,72
20191209,867500,65
20191210,1088000,64
20191211,1227500,75
20191212,1264500,89
20191213,944000,62
20191214,1344500,91
20191215,1124000,76
20191216,973500,64
20191218,1223000,73
20191219,1088000,73
20191220,1077500,68
20191221,1402000,97
20191222,1242500,89
20191223,1144000,76
20191224,1147500,76
20191225,1129000,74
20191226,1429000,79
20191227,1011500,69
20191228,1362500,95
20191229,990000,67
20191230,1110500,81
20191231,1393500,74
20200101,877000,51
20200102,853000,47
20200103,702500,42
20200104,988500,53
20200105,774000,48
20200106,963500,49
20200107,503500,24
20200108,1007000,57
20200109,1114000,60
20200110,1106500,63
20200111,978500,55
20200112,1336000,73
20200113,764500,45
20200114,1069000,51
20200115,999500,60
20200116,783500,48
20200117,802000,51
20200118,981500,55
20200119,725000,39
20200120,1177000,65
20200121,1147000,59
20200122,1048000,54
20200123,560000,31
20200128,1191500,61
20200129,888000,46
20200130,1019500,62
20200131,911500,51
20200201,856500,46
20200202,998500,56
20200204,1289000,67
20200205,1138500,59
20200206,984500,59
20200207,1079500,54
20200208,1063000,66
20200209,1090500,58
20200210,962500,54
20200211,1368000,57
20200212,1039000,56
20200213,1035500,58
20200214,833000,45
20200215,941000,53
20200216,519500,25
20200218,1115000,63
20200219,1052500,51
20200220,1013000,56
20200221,978500,58
20200222,647500,40
20200223,809500,46
20200224,909000,49
20200225,1242000,65
20200226,1043500,49
20200227,1239500,58
20200228,1266000,58
20200229,845000,48
20200301,713500,36
20200302,1081500,44
20200303,1061000,49
20200304,812500,47
20200305,978000,49
20200306,981500,55
20200307,599500,34
20200308,915000,44
20200310,928500,39
20200311,770000,37
20200312,722500,33
20200313,933000,42
20200314,667500,32
20200315,842000,43
20200316,983500,43
20200317,925500,37
20200318,714500,39
20200319,603000,30
20200320,489000,27
20200321,768500,34
20200322,632500,38
20200323,823500,40
20200324,997500,44
20200325,662500,37
20200326,700000,37
20200327,760500,29
20200328,802500,39
20200329,672500,31
20200330,898500,41
20200331,719500,32
20200401,820000,42
20200402,815500,43
20200403,827500,41
20200404,639500,35
20200405,625500,34
20200406,1113000,51
20200407,844000,41
20200408,1029000,41
20200409,1201500,55
20200410,815000,42
20200411,936000,42
20200412,636500,30
20200413,927000,46
20200414,801500,43
20200415,685000,39
20200416,950500,42
20200418,799000,45
20200419,908000,51
20200420,741000,41
20200421,904000,42
20200422,876000,40
20200423,1254500,60
20200424,1092500,51
20200425,672500,34
20200426,1123500,55
20200427,819500,45
20200428,950500,45
