stnId,tm,avgTa,minTa,maxTa,sumRn,maxWs,avgWs,ddMes
108,2018-06-01,23.8,17.5,30.2,0.0,4.3,1.9,0.0
108,2018-06-02,23.4,17.6,30.1,0.0,4.5,2.0,0.0
108,2018-06-03,24.0,16.9,30.8,0.0,4.2,1.6,0.0
108,2018-06-04,22.6,18.9,27.5,0.0,4.4,1.9,0.0
108,2018-06-05,23.7,17.7,29.2,0.0,4.0,1.7,0.0
108,2018-06-06,23.0,18.4,27.9,0.0,4.0,2.0,0.0
108,2018-06-07,22.2,17.8,29.4,0.0,4.1,2.0,0.0
108,2018-06-08,21.9,18.5,27.0,0.0,3.7,2.1,0.0
108,2018-06-09,23.7,18.9,30.1,0.5,3.5,1.4,0.0
108,2018-06-10,21.3,18.3,24.9,0.5,2.9,1.4,0.0
108,2018-06-11,20.2,18.0,23.9,5.0,4.3,1.4,0.0
108,2018-06-12,21.3,16.6,27.1,0.0,4.7,1.7,0.0
108,2018-06-13,22.0,18.3,27.0,0.0,5.1,1.5,0.0
108,2018-06-14,21.6,18.8,25.1,29.0,3.7,1.1,0.0
108,2018-06-15,21.7,17.2,27.0,16.5,2.7,1.4,0.0
108,2018-06-16,22.5,16.3,28.7,0.0,2.8,1.4,0.0
108,2018-06-17,22.8,18.9,27.5,0.0,3.9,1.3,0.0
108,2018-06-18,24.8,19.9,30.8,0.0,4.0,1.5,0.0
108,2018-06-19,22.4,19.1,27.2,0.0,3.6,1.8,0.0
108,2018-06-20,22.7,19.1,28.4,0.0,4.2,2.3,0.0
108,2018-06-21,23.7,19.4,28.7,0.0,4.4,2.2,0.0
108,2018-06-22,25.0,18.2,32.0,0.0,4.3,1.8,0.0
108,2018-06-23,24.5,20.9,28.9,0.0,4.4,2.0,0.0
108,2018-06-24,25.2,20.1,32.1,0.0,3.7,1.9,0.0
108,2018-06-25,27.1,21.3,32.9,0.0,3.2,1.2,0.0
108,2018-06-26,22.3,20.2,26.9,71.5,5.7,2.4,0.0
108,2018-06-27,22.3,19.1,25.5,1.0,4.5,2.0,0.0
108,2018-06-28,23.3,20.6,27.3,26.5,4.3,1.1,0.0
108,2018-06-29,24.7,21.9,29.1,6.5,3.2,1.5,0.0
108,2018-06-30,24.4,21.6,27.9,14.5,5.1,0.9,0.0
108,2018-07-01,21.9,21.0,22.8,83.5,2.3,0.8,0.0
108,2018-07-02,22.6,20.6,25.3,59.5,2.9,0.7,0.0
108,2018-07-03,27.4,22.5,32.6,0.1,2.6,0.8,0.0
108,2018-07-04,27.3,24.0,31.8,0.0,3.9,1.7,0.0
108,2018-07-05,25.3,23.4,29.0,0.5,3.0,1.2,0.0
108,2018-07-06,23.9,21.5,27.1,0.0,3.4,1.8,0.0
108,2018-07-07,23.7,19.5,29.2,0.0,2.3,1.6,0.0
108,2018-07-08,23.3,17.7,28.1,0.0,2.8,1.5,0.0
108,2018-07-09,20.8,20.1,24.2,14.0,1.8,1.1,0.0
108,2018-07-10,23.7,20.4,26.5,16.5,1.6,0.7,0.0
108,2018-07-11,26.8,24.4,29.5,3.0,3.9,1.3,0.0
108,2018-07-12,26.6,25.1,28.2,1.0,3.6,1.5,0.0
108,2018-07-13,27.3,24.7,30.9,0.0,3.4,1.8,0.0
108,2018-07-14,27.9,24.6,31.9,0.0,4.2,1.9,0.0
108,2018-07-15,28.3,24.5,33.2,0.0,3.7,1.6,0.0
108,2018-07-16,28.7,24.0,34.0,0.0,3.6,1.7,0.0
108,2018-07-17,28.1,23.9,32.1,0.0,4.1,1.7,0.0
108,2018-07-18,28.2,23.7,33.2,0.0,4.1,1.6,0.0
108,2018-07-19,28.7,23.2,34.1,0.0,3.2,1.6,0.0
108,2018-07-20,29.5,24.6,34.7,0.0,3.3,1.5,0.0
108,2018-07-21,30.6,24.9,36.9,0.0,3.6,1.5,0.0
108,2018-07-22,31.8,25.3,38.0,0.0,3.7,1.4,0.0
108,2018-07-23,31.7,29.2,35.7,0.0,4.0,1.8,0.0
108,2018-07-24,31.4,27.2,36.8,0.0,4.0,1.6,0.0
108,2018-07-25,30.1,27.7,34.1,0.0,3.8,2.4,0.0
108,2018-07-26,30.1,27.3,33.7,0.0,3.4,1.5,0.0
108,2018-07-27,30.9,27.2,35.4,0.0,3.7,1.9,0.0
108,2018-07-28,29.5,28.0,35.2,7.5,3.6,1.2,0.0
108,2018-07-29,31.3,26.4,36.7,0.0,2.9,1.2,0.0
108,2018-07-30,31.7,26.2,36.9,0.0,2.4,1.2,0.0
108,2018-07-31,32.6,27.8,38.3,0.0,3.6,1.5,0.0
108,2018-08-01,33.6,27.8,39.6,0.0,4.0,1.7,0.0
108,2018-08-02,33.7,30.3,37.9,0.0,3.2,1.6,0.0
108,2018-08-03,33.1,30.0,37.9,0.0,4.2,1.9,0.0
108,2018-08-04,31.1,28.0,34.9,0.0,4.6,2.4,0.0
108,2018-08-05,30.0,27.2,33.9,2.0,4.9,2.6,0.0
108,2018-08-06,30.5,28.3,35.3,6.5,4.4,1.6,0.0
108,2018-08-07,30.5,26.8,35.9,0.0,3.7,1.5,0.0
108,2018-08-08,31.0,27.6,35.3,0.0,4.6,2.1,0.0
108,2018-08-09,28.8,27.1,32.5,2.0,4.2,1.5,0.0
108,2018-08-10,30.7,25.7,36.8,0.0,3.6,1.4,0.0
108,2018-08-11,31.0,26.4,36.0,0.0,3.3,1.5,0.0
108,2018-08-12,30.6,27.2,35.3,5.0,3.7,1.5,0.0
108,2018-08-13,30.5,26.7,34.4,1.0,3.2,1.4,0.0
108,2018-08-14,31.7,27.7,37.2,0.0,4.0,1.3,0.0
108,2018-08-15,31.7,28.3,38.0,1.0,5.8,1.2,0.0
108,2018-08-16,29.9,24.1,35.6,0.0,3.0,1.7,0.0
108,2018-08-17,27.2,21.7,33.8,0.0,3.5,1.8,0.0
108,2018-08-18,26.7,21.5,32.1,0.0,3.8,1.4,0.0
108,2018-08-19,28.2,23.0,34.4,0.0,3.3,1.2,0.0
108,2018-08-20,29.1,25.1,33.3,0.0,5.1,2.0,0.0
108,2018-08-21,26.6,23.4,31.0,5.0,7.1,2.5,0.0
108,2018-08-22,30.7,23.4,37.6,0.0,3.2,1.1,0.0
108,2018-08-23,29.4,25.7,32.2,3.0,2.8,1.7,0.0
108,2018-08-24,24.4,23.2,26.3,7.5,4.2,2.5,0.0
108,2018-08-25,25.2,22.7,29.3,0.0,5.3,2.6,0.0
108,2018-08-26,23.2,20.3,29.0,2.0,3.8,1.2,0.0
108,2018-08-27,22.7,20.2,24.9,19.5,2.1,0.8,0.0
108,2018-08-28,23.7,22.5,26.1,96.5,3.7,0.9,0.0
108,2018-08-29,25.2,22.7,27.4,42.0,4.5,2.4,0.0
108,2018-08-30,25.3,23.9,28.2,9.5,3.7,1.8,0.0
108,2018-08-31,25.6,22.8,30.3,0.1,3.7,1.6,0.0
108,2018-09-01,25.5,20.8,30.9,0.0,2.3,1.3,0.0
108,2018-09-02,25.1,20.1,29.6,0.0,2.8,1.5,0.0
108,2018-09-03,23.3,21.4,25.8,34.5,5.5,1.0,0.0
108,2018-09-04,23.2,20.0,27.8,0.0,5.2,2.2,0.0
108,2018-09-05,24.0,19.6,28.5,0.0,5.7,2.5,0.0
108,2018-09-06,24.1,20.9,28.2,1.0,5.0,2.0,0.0
108,2018-09-07,22.0,19.1,25.5,0.5,4.3,2.5,0.0
108,2018-09-08,21.7,15.9,27.7,0.0,3.9,1.7,0.0
108,2018-09-09,22.2,15.6,28.9,0.0,2.8,1.2,0.0
108,2018-09-10,22.9,18.6,28.4,0.0,2.7,1.6,0.0
