,ymd,법정동,아파트,전용면적,거래금액
0,201101,청운동,청운현대,84.51,"55,800"
1,201101,청운동,청운현대,84.51,"59,000"
2,201101,신교동,신현(101동),84.82,"53,500"
3,201101,사직동,광화문스페이스본(101동~105동),94.51,"67,000"
4,201101,사직동,광화문스페이스본(101동~105동),70.8,"63,500"
5,201101,사직동,광화문스페이스본(106동),153.42,"130,000"
6,201101,내수동,세종로대우,66.96,"38,000"
7,201101,견지동,대성스카이렉스,149.72,"96,000"
8,201101,익선동,운현신화타워,57.18,"32,000"
9,201101,익선동,현대뜨레비앙,48.54,"20,500"
10,201101,익선동,현대뜨레비앙,48.54,"20,000"
11,201101,익선동,현대뜨레비앙,46.64,"19,000"
12,201101,인의동,효성쥬얼리시티,84.64,"45,500"
13,201101,명륜2가,아남1,84.8,"54,500"
14,201101,명륜2가,아남3,47.43,"28,300"
15,201101,명륜2가,아남1,84.9,"59,700"
16,201101,창신동,창신쌍용1,79.87,"36,000"
17,201101,창신동,창신쌍용1,54.7,"25,000"
18,201101,창신동,두산,59.95,"31,800"
19,201101,창신동,두산,84.9,"48,500"
20,201101,창신동,두산,84.9,"50,000"
21,201101,창신동,창신쌍용1,54.7,"24,250"
22,201101,창신동,그린,41.96,"18,000"
23,201101,창신동,창신쌍용1,79.87,"36,000"
24,201101,숭인동,종로청계힐스테이트,59.9426,"40,750"
25,201101,숭인동,종로센트레빌,59.92,"37,000"
26,201101,숭인동,종로센트레빌,59.92,"38,000"
27,201101,숭인동,롯데캐슬천지인,84.95,"52,000"
28,201101,숭인동,롯데캐슬천지인,84.95,"50,000"
29,201101,숭인동,롯데캐슬천지인,111.73,"68,500"
30,201101,숭인동,롯데캐슬천지인,111.73,"64,600"
31,201101,평창동,삼성,84.98,"34,000"
32,201101,평창동,삼성,84.93,"37,400"
33,201101,평창동,벽산블루밍평창힐스,155.97,"95,400"
34,201101,평창동,롯데낙천대,91.06,"40,000"
35,201101,신영동,대아파크빌,59.22,"23,000"
36,201101,무악동,현대,60.0,"40,790"
37,201101,무악동,현대,60.0,"35,980"
38,201101,무악동,현대,84.92,"56,450"
39,201101,무악동,현대,114.9,"56,000"
40,201101,무악동,인왕산아이파크,114.931,"86,000"
41,201101,무악동,현대,114.9,"67,490"
42,201101,무악동,현대,60.0,"35,000"
43,201101,무악동,현대,114.9,"72,990"
44,201101,무악동,현대,114.9,"64,990"
45,201101,무악동,현대,84.92,"49,970"
46,201101,무악동,현대,84.92,"54,000"
47,201101,무악동,현대,60.0,"34,990"
48,201101,무악동,인왕산아이파크,84.858,"61,000"
49,201101,무악동,현대,84.92,"55,990"
50,201101,무악동,현대,114.9,"74,450"
51,201102,사직동,광화문스페이스본(101동~105동),94.51,"80,000"
52,201102,사직동,광화문스페이스본(101동~105동),94.51,"75,000"
53,201102,사직동,광화문스페이스본(101동~105동),159.01,"118,000"
54,201102,당주동,세종,91.46,"41,000"
55,201102,내수동,경희궁의아침2단지,124.17,"111,000"
56,201102,내수동,경희궁의아침2단지,174.55,"150,000"
57,201102,수송동,로얄팰리스스위트,39.67,"29,800"
58,201102,견지동,대성스카이렉스,149.8,"95,000"
59,201102,익선동,현대뜨레비앙,36.08,"17,000"
60,201102,익선동,현대뜨레비앙,48.54,"20,000"
61,201102,익선동,현대뜨레비앙,45.5,"19,500"
62,201102,낙원동,낙원,73.59,"30,000"
63,201102,창신동,창신쌍용2,64.66,"25,000"
64,201102,창신동,창신쌍용1,106.62,"43,500"
